list,image,prompt
1,gs01.png,This person woke up early to walk the dog. After making coffee...
1,gs02.png,This person got home from work and cooked dinner. After washing the dishes...
1,gs03.png,This person chose a playlist for the drive. After turning up the volume...
1,gs04.png,This person went to see a show. During the intermission...
1,gs05.png,This person made a mug of tea. Before it cooled...
1,gs06.png,This person got out of the pool. After drying off...
1,gs07.png,This person received a text. After reading it...
1,gs08.png,This person ordered pizza. Before it arrived...
1,gs09.png,This person collected the trash. After taking it out...
1,gs10.png,This person went on a run at the local park. Before finishing...
1,gs11.png,This person painted the room. While the walls dried...
1,gs12.png,This person played with the cat. After watching it chase the laser pointer...
2,gs01.png,This person played with the cat. After watching it chase the laser pointer...
2,gs02.png,This person woke up early to walk the dog. After making coffee...
2,gs03.png,This person got home from work and cooked dinner. After washing the dishes...
2,gs04.png,This person chose a playlist for the drive. After turning up the volume...
2,gs05.png,This person went to see a show. During the intermission...
2,gs06.png,This person made a mug of tea. Before it cooled...
2,gs07.png,This person got out of the pool. After drying off...
2,gs08.png,This person received a text. After reading it...
2,gs09.png,This person ordered pizza. Before it arrived...
2,gs10.png,This person collected the trash. After taking it out...
2,gs11.png,This person went on a run at the local park. Before finishing...
2,gs12.png,This person painted the room. While the walls dried...
3,gs01.png,This person painted the room. While the walls dried...
3,gs02.png,This person played with the cat. After watching it chase the laser pointer...
3,gs03.png,This person woke up early to walk the dog. After making coffee...
3,gs04.png,This person got home from work and cooked dinner. After washing the dishes...
3,gs05.png,This person chose a playlist for the drive. After turning up the volume...
3,gs06.png,This person went to see a show. During the intermission...
3,gs07.png,This person made a mug of tea. Before it cooled...
3,gs08.png,This person got out of the pool. After drying off...
3,gs09.png,This person received a text. After reading it...
3,gs10.png,This person ordered pizza. Before it arrived...
3,gs11.png,This person collected the trash. After taking it out...
3,gs12.png,This person went on a run at the local park. Before finishing...